date,equity,daily_return,target_exposure,actual_equivalent_exposure,trend_label,vix_label
2020-10-15,1000000.0,0.0,50.0,50.0,allowed,normal
2020-10-16,999697.8808458729,-0.00030211915412697854,50.0,50.0,allowed,normal
2020-10-19,984499.0341689347,-0.01520343992734896,100.0,100.0,accelerating_bull,normal
2020-10-20,988442.8383571071,0.004005899499435861,100.0,100.0,accelerating_bull,normal
2020-10-21,986571.5783249163,-0.0018931393496673943,100.0,100.0,accelerating_bull,normal
2020-10-22,991983.316165405,0.0054853980789484336,100.0,100.0,accelerating_bull,normal
2020-10-23,995351.2241105093,0.0033951255935666946,100.0,100.0,accelerating_bull,normal
2020-10-26,984314.7701151218,-0.011087999620686783,60.0,60.0,accelerating_bull,danger
2020-10-27,982278.8640519691,-0.00206834858620939,60.0,60.0,accelerating_bull,danger
2020-10-28,962134.8710476068,-0.02050740756170504,55.00000000000001,60.0,accelerating_bull,crisis
2020-10-29,968002.0962480342,0.006098131745333024,60.0,60.0,accelerating_bull,danger
2020-10-30,961947.2151353718,-0.006255028926208972,48.0,60.0,confirmed_bull,danger
2020-11-02,967122.4967195962,0.005380005787007853,48.0,48.0,confirmed_bull,danger
2020-11-03,975318.8977809733,0.008475039190152954,48.0,48.0,confirmed_bull,danger
2020-11-04,985781.5578753403,0.010727424761451302,80.0,48.0,confirmed_bull,normal
2020-11-05,995009.9050050678,0.009361452398863506,80.0,48.0,confirmed_bull,normal
2020-11-06,994900.9040988745,-0.00010954755891878776,80.0,48.0,confirmed_bull,normal
2020-11-09,1004901.9216413354,0.010052275057000949,80.0,80.0,confirmed_bull,normal
2020-11-10,1003723.0482846525,-0.0011731228006384598,80.0,80.0,confirmed_bull,normal
2020-11-11,1009688.2881682175,0.005943113385469801,80.0,80.0,confirmed_bull,normal
2020-11-12,1001852.1866072088,-0.007760911612855282,100.0,80.0,accelerating_bull,normal
2020-11-13,1012948.2991393252,0.011075598456987558,100.0,80.0,accelerating_bull,normal
2020-11-16,1025592.6700196909,0.01248274062072996,100.0,100.0,accelerating_bull,normal
2020-11-17,1020076.4724272733,-0.005378546233478554,100.0,100.0,accelerating_bull,normal
2020-11-18,1007799.8480530686,-0.012035003949255274,100.0,100.0,accelerating_bull,normal
2020-11-19,1012042.9480294494,0.004210260583565217,100.0,100.0,accelerating_bull,normal
2020-11-20,1005112.6631501091,-0.006847816975390497,100.0,100.0,accelerating_bull,normal
2020-11-23,1011137.7831674877,0.0059944722997473665,100.0,100.0,accelerating_bull,normal
2020-11-24,1027430.9369307116,0.016113683055324124,100.0,100.0,accelerating_bull,normal
2020-11-25,1025846.8984222787,-0.001541746945215583,100.0,100.0,accelerating_bull,normal
2020-11-27,1028703.9414227915,0.0027850578920760594,100.0,100.0,accelerating_bull,normal
2020-11-30,1024149.9936779715,-0.004426878872964557,100.0,100.0,accelerating_bull,normal
2020-12-01,1035351.3157207902,0.010937188997670155,100.0,100.0,accelerating_bull,normal
2020-12-02,1037529.1125790038,0.0021034375724895416,100.0,100.0,accelerating_bull,normal
2020-12-03,1037246.4813695333,-0.0002724079797317147,100.0,100.0,accelerating_bull,normal
2020-12-04,1046185.1706293188,0.00861770988895838,100.0,100.0,accelerating_bull,normal
2020-12-07,1044035.2178342459,-0.0020550404033921055,100.0,100.0,accelerating_bull,normal
2020-12-08,1047090.1492433664,0.0029260808035362906,100.0,100.0,accelerating_bull,normal
2020-12-09,1037698.7844286431,-0.008969012669548637,100.0,100.0,accelerating_bull,normal
2020-12-10,1037359.6269772784,-0.0003268361266813846,100.0,100.0,accelerating_bull,normal
2020-12-11,1036143.2418510496,-0.0011725780477626069,100.0,100.0,accelerating_bull,normal
2020-12-14,1031504.4581814101,-0.0044769714092353086,100.0,100.0,accelerating_bull,normal
2020-12-15,1045449.7707409533,0.013519391456755736,100.0,100.0,accelerating_bull,normal
2020-12-16,1047090.1492433662,0.0015690648640636073,100.0,100.0,accelerating_bull,normal
2020-12-17,1052945.5974111054,0.00559211465409204,100.0,100.0,accelerating_bull,normal
2020-12-18,1048741.3301247903,-0.003992862780994866,100.0,100.0,accelerating_bull,normal
2020-12-21,1044991.5077485958,-0.0035755455310875206,100.0,100.0,accelerating_bull,normal
2020-12-22,1043230.3474739642,-0.0016853345329340685,100.0,100.0,accelerating_bull,normal
2020-12-23,1044167.9194729591,0.000898720020238164,100.0,100.0,accelerating_bull,normal
2020-12-24,1048230.1727248617,0.0038904214314043895,100.0,100.0,accelerating_bull,normal
2020-12-28,1057235.2593659824,0.00859075313364821,100.0,100.0,accelerating_bull,normal
2020-12-29,1055217.9150856659,-0.0019081318584911466,100.0,100.0,accelerating_bull,normal
2020-12-30,1056723.7294702255,0.001427017455856383,100.0,100.0,accelerating_bull,normal
2020-12-31,1062092.604962682,0.005080680354502931,100.0,100.0,accelerating_bull,normal
