date,equity,daily_return,target_exposure,actual_equivalent_exposure,trend_label,vix_label
2015-10-16,100000.0,0.0,60.0,60.0,risk_watch,low
2015-10-19,100029.52528509036,0.0002952528509036156,60.0,60.0,risk_watch,low
2015-10-20,100029.52528509036,0.0,0.0,0.0,risk_off,low
2015-10-21,100029.52528509036,0.0,0.0,0.0,risk_off,low
2015-10-22,100029.52528509036,0.0,60.0,0.0,allowed,low
2015-10-23,100029.52528509036,0.0,60.0,0.0,allowed,low
2015-10-26,99882.01526851553,-0.0014746647667717605,60.0,60.0,allowed,low
2015-10-27,99766.210622683,-0.0011594143902805554,60.0,60.0,allowed,low
2015-10-28,100447.10164742351,0.0068248660592677085,60.0,60.0,allowed,low
2015-10-29,100412.48347641403,-0.00034464081533185363,60.0,60.0,allowed,low
2015-10-30,100152.79536424259,-0.0025862134186974695,60.0,60.0,allowed,low
2015-11-02,100863.76308039551,0.007098830477644124,60.0,60.0,allowed,low
2015-11-03,101039.218853913,0.0017395322974182114,60.0,60.0,allowed,low
2015-11-04,100855.36194057396,-0.0018196588950758928,60.0,60.0,allowed,low
2015-11-05,100794.93509821827,-0.000599143577426342,60.0,60.0,allowed,low
2015-11-06,100763.27501570205,-0.0003141039029924686,60.0,60.0,allowed,low
2015-11-09,100199.12343248955,-0.0055987817299963044,60.0,60.0,allowed,low
2015-11-10,100337.80557926741,0.0013840654691086752,60.0,60.0,allowed,low
2015-11-11,100101.10812787853,-0.0023590056611503484,60.0,60.0,allowed,low
2015-11-12,99262.67225901176,-0.008375889983112516,60.0,60.0,risk_watch,low
2015-11-13,98705.38976784327,-0.005614220114025625,50.0,50.0,risk_watch,normal
2015-11-16,99605.9897619264,0.009124121754661508,60.0,60.0,allowed,low
2015-11-17,99562.39633236542,-0.0004376587157577383,60.0,60.0,allowed,low
2015-11-18,100510.21121273504,0.009519807831920435,60.0,60.0,allowed,low
2015-11-19,100458.18345018112,-0.0005176365856379261,60.0,60.0,allowed,low
2015-11-20,100677.860949447,0.002186755640219262,60.0,60.0,allowed,low
2015-11-23,100608.58490797436,-0.0006880960801047164,60.0,60.0,allowed,low
2015-11-24,100689.42834414839,0.0008035441135364252,60.0,60.0,allowed,low
2015-11-25,100680.77080696866,-8.598258349559184e-05,60.0,60.0,allowed,low
2015-11-27,100750.02983415461,0.0006879072004597919,60.0,60.0,allowed,low
2015-11-30,100499.07235526489,-0.002490892353112328,60.0,60.0,allowed,low
2015-12-01,101074.07924145016,0.005721514365352753,60.0,60.0,allowed,low
2015-12-02,100455.20153963192,-0.0061230110277813,60.0,60.0,allowed,low
2015-12-03,99611.18211120505,-0.008401948485403965,60.0,60.0,allowed,low
2015-12-04,100776.82617070843,0.011701939830430596,60.0,60.0,allowed,low
2015-12-07,100410.4816270651,-0.003635206203286811,60.0,60.0,allowed,low
2015-12-08,100005.65571983576,-0.00403170964494437,60.0,60.0,allowed,low
2015-12-09,99538.8556314773,-0.0046677368894635805,60.0,60.0,allowed,low
2015-12-10,99692.99814704416,0.0015485662818702118,60.0,60.0,allowed,low
2015-12-11,97760.85323602604,-0.019380948982678392,100.0,100.0,accelerating_bull,normal
2015-12-14,98254.77662036949,0.00505236368130868,100.0,100.0,accelerating_bull,normal
2015-12-15,98254.77662036949,0.0,0.0,0.0,risk_off,normal
2015-12-16,98254.77662036949,0.0,120.0,0.0,accelerating_bull,low
2015-12-17,98254.77662036949,0.0,120.0,0.0,accelerating_bull,low
2015-12-18,98254.77662036949,0.0,100.0,0.0,accelerating_bull,normal
2015-12-21,98254.77662036949,0.0,0.0,0.0,risk_off,low
2015-12-22,98254.77662036949,0.0,0.0,0.0,risk_off,low
2015-12-23,99422.85615606346,0.011888272263923695,96.0,96.0,confirmed_bull,low
2015-12-24,99265.31107240681,-0.001584596236194855,96.0,96.0,confirmed_bull,low
2015-12-28,99047.55877860001,-0.0021936393635835216,96.0,96.0,confirmed_bull,low
2015-12-29,100062.33192260235,0.01024531201491449,96.0,96.0,confirmed_bull,low
2015-12-30,99381.44773652455,-0.006804600422509068,96.0,96.0,confirmed_bull,low
2015-12-31,98427.0745386919,-0.009603132370971785,96.0,96.0,confirmed_bull,low
2016-01-04,97326.32694253608,-0.01118338222805866,80.0,80.0,confirmed_bull,normal
2016-01-05,97457.99377930106,0.001352838855644123,0.0,80.0,risk_off,low
2016-01-06,96474.50967131798,-0.010091364185171248,0.0,80.0,risk_off,normal
2016-01-07,94622.85530502911,-0.019193198002221835,0.0,80.0,risk_off,normal
2016-01-08,93791.94266000681,-0.008781310206120363,0.0,80.0,risk_off,normal
2016-01-11,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-01-12,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-01-13,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-01-14,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-01-15,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-01-19,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-01-20,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-01-21,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-01-22,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-01-25,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-01-26,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-01-27,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-01-28,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-01-29,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-02-01,93791.94266000681,0.0,0.0,0.0,risk_off,low
2016-02-02,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-02-03,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-02-04,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-02-05,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-02-08,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-02-09,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-02-10,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-02-11,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-02-12,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-02-16,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-02-17,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-02-18,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-02-19,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-02-22,93791.94266000681,0.0,0.0,0.0,risk_off,low
2016-02-23,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-02-24,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-02-25,93791.94266000681,0.0,0.0,0.0,risk_off,low
2016-02-26,93791.94266000681,0.0,0.0,0.0,risk_off,low
2016-02-29,93791.94266000681,0.0,0.0,0.0,risk_off,normal
2016-03-01,93791.94266000681,0.0,0.0,0.0,risk_off,low
2016-03-02,93791.94266000681,0.0,0.0,0.0,risk_off,low
2016-03-03,93791.94266000681,0.0,0.0,0.0,risk_off,low
2016-03-04,93791.94266000681,0.0,0.0,0.0,risk_off,low
2016-03-07,93791.94266000681,0.0,0.0,0.0,risk_off,low
2016-03-08,93791.94266000681,0.0,0.0,0.0,risk_off,low
2016-03-09,93791.94266000681,0.0,0.0,0.0,risk_off,low
2016-03-10,93791.94266000681,0.0,0.0,0.0,risk_off,low
2016-03-11,94700.04874634153,0.009682133247059133,60.0,60.0,allowed,low
2016-03-14,94627.1941557689,-0.0007693194622082622,60.0,60.0,allowed,low
2016-03-15,94534.65810824234,-0.0009779012085493922,60.0,60.0,allowed,low
2016-03-16,94862.9192415307,0.00347238927878184,60.0,60.0,allowed,low
2016-03-17,95224.00363375846,0.003806380776754281,60.0,60.0,allowed,low
2016-03-18,95448.52761422275,0.002357850666811112,60.0,60.0,allowed,low
2016-03-21,95529.779049311,0.0008512591772672273,60.0,60.0,allowed,low
2016-03-22,95498.9818612458,-0.0003223831183498227,60.0,60.0,allowed,low
2016-03-23,95120.83402048098,-0.003959705469051466,60.0,60.0,allowed,low
2016-03-24,95095.5423769167,-0.0002658896321161785,60.0,60.0,allowed,low
2016-03-28,95129.2587766745,0.00035455289401649105,60.0,60.0,allowed,low
2016-03-29,95657.24998778293,0.005550250447635019,60.0,60.0,allowed,low
2016-03-30,95909.04842798055,0.002632298547468137,60.0,60.0,allowed,low
2016-03-31,95769.41039210203,-0.0014559422511982723,60.0,60.0,allowed,low
2016-04-01,96160.83255487964,0.004087131383340869,60.0,60.0,allowed,low
2016-04-04,95974.02187899279,-0.0019426898761534693,60.0,60.0,allowed,low
2016-04-05,95398.87640871007,-0.005992720311417931,60.0,60.0,allowed,low
2016-04-06,96024.00102608057,0.0065527461213727095,60.0,60.0,allowed,low
2016-04-07,95334.5651479172,-0.007179828696953727,60.0,60.0,allowed,low
2016-04-08,95488.82428864877,0.0016180819673560442,60.0,60.0,allowed,low
2016-04-11,95354.35503925281,-0.0014082197618171088,60.0,60.0,allowed,low
2016-04-12,95887.16277031762,0.005587660163455199,60.0,60.0,allowed,low
2016-04-13,96468.30373001841,0.0060606753074217146,60.0,60.0,allowed,low
2016-04-14,96471.07254067645,2.8701765771677045e-05,60.0,60.0,allowed,low
2016-04-15,96407.07625529387,-0.0006633727986760096,60.0,60.0,allowed,low
2016-04-18,96813.52883638411,0.004216003605522989,60.0,60.0,allowed,low
2016-04-19,96996.76987514655,0.0018927214095473043,60.0,60.0,allowed,low
2016-04-20,97052.22927739141,0.000571765454831663,60.0,60.0,allowed,low
2016-04-21,96739.03807495332,-0.00322703769681516,60.0,60.0,allowed,low
2016-04-22,96738.57752803278,-4.760714285714285e-06,120.0,119.99000000000001,accelerating_bull,low
2016-04-25,96538.14106274482,-0.0020719393483936647,120.0,119.99000000000001,accelerating_bull,low
2016-04-26,96709.80306331199,0.0017781780203909368,120.0,119.99000000000001,accelerating_bull,low
2016-04-27,96948.17257667123,0.0024647916323764603,120.0,119.99000000000001,accelerating_bull,low
2016-04-28,95891.99589235618,-0.01089424025481021,120.0,119.99000000000001,accelerating_bull,low
2016-04-29,95270.30038091335,-0.006483288888268746,120.0,119.99000000000001,accelerating_bull,low
2016-05-02,96178.44995601012,0.009532347137206198,120.0,119.99000000000001,accelerating_bull,low
2016-05-03,95173.61020116223,-0.01044766010792951,120.0,119.99000000000001,accelerating_bull,low
2016-05-04,94536.13915062994,-0.006697981186012628,120.0,119.99000000000001,accelerating_bull,low
2016-05-05,94513.54825492046,-0.00023896571102279527,120.0,119.99000000000001,accelerating_bull,low
2016-05-06,94928.0916207678,0.004386073462496902,120.0,119.99000000000001,accelerating_bull,low
2016-05-09,95021.75253999956,0.0009866512391920814,120.0,119.99000000000001,accelerating_bull,low
2016-05-10,96438.96782256028,0.014914640539429612,120.0,119.99000000000001,accelerating_bull,low
2016-05-11,95355.98738209553,-0.011229697547752248,120.0,119.99000000000001,accelerating_bull,low
2016-05-12,95388.76112522215,0.00034369884919025655,120.0,119.99000000000001,accelerating_bull,low
2016-05-13,94390.91517890988,-0.010460833483331981,120.0,119.99000000000001,accelerating_bull,low
2016-05-16,95507.83616331473,0.011832928860662315,120.0,119.99000000000001,accelerating_bull,low
2016-05-17,94437.74238813274,-0.011204251066395835,120.0,119.99000000000001,accelerating_bull,low
2016-05-18,94470.46558723097,0.0003465055206818497,120.0,119.99000000000001,accelerating_bull,low
2016-05-19,94077.27618854903,-0.004162035152868676,120.0,119.99000000000001,accelerating_bull,low
2016-05-20,94789.94490773138,0.007575354517641629,120.0,119.99000000000001,accelerating_bull,low
2016-05-23,94634.48454204711,-0.0016400512294378077,120.0,119.99000000000001,accelerating_bull,low
2016-05-24,96105.94833046445,0.015548917453695753,120.0,119.99000000000001,accelerating_bull,low
2016-05-25,96887.70977230575,0.008134371029285176,120.0,119.99000000000001,accelerating_bull,low
2016-05-26,96914.36236756177,0.00027508747310328374,96.0,96.0,confirmed_bull,low
2016-05-27,97314.36223251156,0.004127353832579814,96.0,96.0,confirmed_bull,low
2016-05-31,97136.61495685659,-0.0018265266459875917,96.0,96.0,confirmed_bull,low
2016-06-01,97375.00471109532,0.002454169875536789,120.0,119.99000000000001,accelerating_bull,low
2016-06-02,97730.14487284167,0.003647138840198666,120.0,119.99000000000001,accelerating_bull,low
2016-06-03,97379.39405842568,-0.003588972623261424,120.0,119.99000000000001,accelerating_bull,low
2016-06-06,97973.4915506289,0.006100854271559451,120.0,119.99000000000001,accelerating_bull,low
2016-06-07,98156.58007435415,0.0018687557300193368,120.0,119.99000000000001,accelerating_bull,low
2016-06-08,98540.04362014485,0.003906651449146229,120.0,119.99000000000001,accelerating_bull,low
2016-06-09,98378.11358236795,-0.001643291720075811,120.0,119.99000000000001,accelerating_bull,low
