date,equity,buy_hold_equity,leveraged_buy_hold_equity,ma120_timing_equity,leveraged_ma120_timing_equity,daily_return,buy_hold_daily_return,leveraged_buy_hold_daily_return,ma120_timing_daily_return,leveraged_ma120_timing_daily_return,target_exposure,actual_equivalent_exposure,overnight_equivalent_exposure,intraday_equivalent_exposure,post_close_equivalent_exposure,pending_next_open_equivalent_exposure,local_defensive_percent,post_close_local_defensive_percent,trend_label,vix_label
2010-07-26,1039928.7815923691,1038539.9087231265,1104809.568781367,1052437.5890109618,1157407.2732636468,0.010415417549477946,0.010415417549477946,0.031210538362719552,0.010415417549477946,0.031210538362719552,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-07-27,1039835.982658609,1038447.2337266242,1104474.3454179724,1052343.6738430792,1157056.0906074457,-8.923585480336005e-05,-8.923585480336005e-05,-0.0003034218501243659,-8.923585480336005e-05,-0.0003034218501243659,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-07-28,1033124.3115509284,1031744.5263653786,1083048.2523661943,1045551.2712441379,1134609.9454648893,-0.006454547851402981,-0.006454547851402981,-0.019399357839923227,-0.006454547851402981,-0.019399357839923227,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-07-29,1028090.7466443989,1026717.6840170262,1067179.1624656627,1040457.1599856281,1117985.3609301907,-0.0048721773849006444,-0.0048721773849006444,-0.01465224644041622,-0.0048721773849006444,-0.01465224644041622,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-07-30,1027903.9240193774,1026531.1109022403,1066559.2718393388,1040268.0901603375,1117335.958589906,-0.00018171802988331542,-0.00018171802988331542,-0.000580868375364232,-0.00018171802988331542,-0.000580868375364232,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-08-02,1051114.6802769005,1049710.868123857,1138772.039824671,1063758.0375367184,1192986.6274928865,0.02258066704012851,0.02258066704012851,0.06770628683467124,0.02258066704012851,0.06770628683467124,240.0,100.0,100.0,100.0,240.0,240.0,0.0,0.0,allowed,low
2010-08-03,1039008.5249614546,1044684.3080343773,1122372.275876015,1058664.212314253,1175806.1046133477,-0.011517444806552271,-0.00478851866939678,-0.014401270293904625,-0.00478851866939678,-0.014401270293904625,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,allowed,low
2010-08-04,1055648.428136733,1051666.357593202,1144836.0005611377,1065739.6952517156,1199339.2808908045,0.016015174828229325,0.006683406178428886,0.020014504249572372,0.006683406178428886,0.020014504249572372,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,allowed,low
2010-08-05,1052930.8777784605,1050549.271061758,1141146.9578479338,1064607.6599336748,1195474.6104640702,-0.002574294893868303,-0.0010622062057784598,-0.003222332903049665,-0.0010622062057784598,-0.003222332903049665,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,allowed,low
2010-08-06,1042603.1923448214,1046266.7453604412,1127150.671020161,1060267.825724017,1180811.98929306,-0.00980851226951295,-0.004076463445630396,-0.012265104622605475,-0.004076463445630396,-0.012265104622605475,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,allowed,low
