date,equity,buy_hold_equity,leveraged_buy_hold_equity,ma120_timing_equity,leveraged_ma120_timing_equity,daily_return,buy_hold_daily_return,leveraged_buy_hold_daily_return,ma120_timing_daily_return,leveraged_ma120_timing_daily_return,target_exposure,actual_equivalent_exposure,overnight_equivalent_exposure,intraday_equivalent_exposure,post_close_equivalent_exposure,pending_next_open_equivalent_exposure,local_defensive_percent,post_close_local_defensive_percent,trend_label,vix_label
2024-06-24,1000000.0,1000000.0,999964.2857142858,1000000.0,999964.2857142858,0.0,0.0,-3.571428571428571e-05,0.0,-3.571428571428571e-05,240.0,0.0,0.0,0.0,240.0,240.0,0.0,0.0,allowed,low
2024-06-25,1009217.3138027061,1003850.9640844609,1011481.0523541694,1003850.9640844609,1011481.0523541694,0.009217313802706014,0.0038509640844608395,0.011517177967668232,0.0038509640844608395,0.011517177967668232,300.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,accelerating_bull,low
2024-06-26,1012214.9818166215,1005103.8076984376,1015232.0267809016,1005103.8076984376,1015232.0267809016,0.002970289919641131,0.0012480374665171379,0.003708398113837128,0.0012480374665171379,0.003708398113837128,300.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,accelerating_bull,low
2024-06-27,1016019.8279030075,1006688.4923942942,1019997.7281821575,1006688.4923942942,1019997.7281821575,0.0037589308148328142,0.0015766378395136726,0.004694199232826732,0.0015766378395136726,0.004694199232826732,300.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,accelerating_bull,low
2024-06-28,1006398.88069689,1002727.0677144118,1007919.9059408512,1002727.0677144118,1007919.9059408512,-0.009469251427872707,-0.003935104761613628,-0.01184102857055517,-0.003935104761613628,-0.01184102857055517,300.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,accelerating_bull,low
2024-07-01,1011344.2564587978,1004790.5680889672,1014106.4687692565,1002727.0677144118,1007919.9059408512,0.004913932096668757,0.0020578883736119824,0.006137950835121662,0.0,0.0,300.0,240.0,240.0,240.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2024-07-02,1031726.7366821166,1011552.6626055746,1034544.6182045483,1009475.2751733466,1028233.3723182278,0.02015384978275122,0.006729854689488501,0.02015384978275122,0.006729854689488501,0.02015384978275122,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2024-07-03,1045502.1872006741,1016066.7347342765,1048357.6926268965,1013980.0769229027,1041962.1799940371,0.013351840200300854,0.004462518162005047,0.013351840200300854,0.004462518162005047,0.013351840200300854,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2024-07-05,1063552.1307982658,1021926.0837194859,1066456.9347458275,1019827.3927847832,1059951.0075737026,0.017264376697212334,0.005766696994308873,0.017264376697212334,0.005766696994308873,0.017264376697212334,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2024-07-08,1067195.2561578022,1023105.0955633419,1070110.010313369,1021003.9833366219,1063581.7975309938,0.003425431865574944,0.0011537153837630765,0.003425431865574944,0.0011537153837630765,0.003425431865574944,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
