date,execution_timing,target_exposure,core_percent,leveraged_percent,local_defensive_percent,cash_percent,trend_label,vix,cap_note
2019-03-19,next_session,300.0,0.0,100.0,0.0,0.0,accelerating_bull,13.5600004196167,
2019-08-27,next_session,100.0,100.0,0.0,0.0,0.0,risk_off,20.309999465942383,
2019-09-03,next_session,300.0,0.0,100.0,0.0,0.0,confirmed_bull,19.65999984741211,
2020-02-27,next_session,100.0,100.0,0.0,0.0,0.0,accelerating_bull,39.15999984741211,
2020-05-26,next_session,240.0,30.0,70.0,0.0,0.0,allowed,28.010000228881836,
2020-06-11,next_session,100.0,100.0,0.0,0.0,0.0,allowed,40.790000915527344,
2020-07-01,next_session,300.0,0.0,100.0,0.0,0.0,accelerating_bull,28.6200008392334,
2020-07-13,next_session,100.0,100.0,0.0,0.0,0.0,accelerating_bull,32.189998626708984,
2020-07-20,next_session,300.0,0.0,100.0,0.0,0.0,accelerating_bull,24.459999084472656,
2020-09-03,next_session,100.0,100.0,0.0,0.0,0.0,accelerating_bull,33.599998474121094,
2020-09-09,next_session,300.0,0.0,100.0,0.0,0.0,accelerating_bull,28.809999465942383,
2020-10-26,next_session,100.0,100.0,0.0,0.0,0.0,accelerating_bull,32.459999084472656,
2020-11-04,next_session,300.0,0.0,100.0,0.0,0.0,accelerating_bull,29.56999969482422,
2021-01-27,next_session,100.0,100.0,0.0,0.0,0.0,accelerating_bull,37.209999084472656,
2021-02-02,next_session,300.0,0.0,100.0,0.0,0.0,accelerating_bull,25.559999465942383,
2021-12-01,next_session,100.0,100.0,0.0,0.0,0.0,accelerating_bull,31.1200008392334,
2021-12-06,next_session,300.0,0.0,100.0,0.0,0.0,accelerating_bull,27.18000030517578,
2022-01-21,next_session,100.0,100.0,0.0,0.0,0.0,risk_off,28.850000381469727,
2022-02-01,next_session,300.0,0.0,100.0,0.0,0.0,confirmed_bull,21.959999084472656,
2022-02-07,next_session,100.0,100.0,0.0,0.0,0.0,risk_off,22.860000610351562,
2022-03-24,next_session,240.0,30.0,70.0,0.0,0.0,allowed,21.670000076293945,
2022-04-07,next_session,100.0,100.0,0.0,0.0,0.0,risk_off,21.549999237060547,
2022-08-03,next_session,240.0,30.0,70.0,0.0,0.0,allowed,21.950000762939453,
2022-08-30,next_session,100.0,100.0,0.0,0.0,0.0,risk_off,26.209999084472656,
2022-09-12,next_session,240.0,30.0,70.0,0.0,0.0,allowed,23.8700008392334,
